a52dec 0.7.4-9
aalib 1.4rc5-12
accountsservice 0.6.46-1
acl 2.2.52-4
adapta-gtk-theme 3.93.0.225-1
adobe-source-sans-pro-fonts 2.020ro+1.075it-2
adwaita-icon-theme 3.28.0-1
aircrack-ng 1.2rc4-4
alsa-firmware 1.0.29-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.6-1
alsa-utils 1.1.5-2
apm 1.19.0-2
appstream-glib 0.7.4-1
arandr 0.1.9-2
arc-gtk-theme 20180114-1
arc-icon-theme 20161122-1
arch-install-scripts 18-1
archlinux-appstream-data 20180318-1
archlinux-keyring 20180404-1
archmerge-arc-themes-git 6.4-1
archmerge-common-git 6.4-1
archmerge-conky-collection-git 6.4-1
archmerge-docs-git 6.4-1
archmerge-i3wm-git 6.4-3
archmerge-iso-skel-git 6.4-4
archmerge-keyring-git 20171208-1
archmerge-oblogout-themes-git 6.4-1
archmerge-obmenu-generator-git 6.4-1
archmerge-openbox-configs-git 6.4-3
archmerge-openbox-themes-git 6.4-1
archmerge-pipemenus-git 6.4-1
archmerge-plank-themes-git 6.4-1
archmerge-polybar-git 6.4-1
archmerge-root-git 6.4-1
archmerge-slimlock-themes-git 6.4-1
archmerge-termite-themes-git 6.4-1
archmerge-tint2-themes-git 6.4-1
archmerge-wallpapers-git 6.4-1
archmerge-xfce-thunar-git 6.4-2
argon2 20171227-3
aria2 1.33.1-1
asciidoc 8.6.10-1
aspell 0.60.6.1-5
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atkmm 2.24.2+1+gf30b47f-2
atom 1.25.1-1
attr 2.4.47-3
aurvote-git r27.fd413f1-2
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-4
awesome-terminal-fonts 1.1.0-1
b43-firmware 6.30.163.46-1
b43-fwcutter 019-1
babl 0.1.44-2
bamf 0.5.3-2
baobab 3.28.0-1
bash 4.4.019-1
bash-completion 2.8-1
bc 1.07.1-1
bind-tools 9.12.1-1
binutils 2.29.1-3
bison 3.0.4-3
blas 3.8.0-1
blueberry 1.1.20-1
bluez 5.49-3
bluez-firmware 1.2-8
bluez-libs 5.49-3
bluez-tools 0.2.0-1
bluez-utils 5.49-3
boost-libs 1.66.0-2
breeze-cursors-lh 2.0-3
breeze-obsidian-cursor-theme 1.0-3
broadcom-wl 6.30.223.271-7
brotli 1.0.2-1
btrfs-progs 4.15.1-1
bubblewrap 0.2.0-1
bumblebee-status 1.6.0-1
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36-1
ca-certificates-utils 20170307-1
cairo 1.15.10+54+g1ed124ace-1
cairo-perl 1.106-5
cairomm 1.12.2-2
calibre 3.20.0-2
cantarell-fonts 1:0.101-1
catfish 1.4.4-1
cblas 3.8.0-1
cdparanoia 10.2-5
celt 0.11.3-3
chmlib 0.40-5
chromaprint 1.4.3-1
chromium 65.0.3325.181-6
cifs-utils 6.7-2
clonezilla 3.27.16-1
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gtk 1.8.4-1
cmake 3.10.3-1
cmatrix 1.2a-12
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.2-1
colord-gtk 0.1.26+5+ga9d9c91-1
compton 0.1_beta2.5-10
confuse 3.2.1-1
conky-lua-archers 1.10.8-1
console-solarized-git r4.gb1fe625-1
cool-retro-term 1.0.1-1
corebird 1.7.4-1
coreutils 8.29-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cryptsetup 2.0.2-1
cups 2.2.7-1
cups-filters 1.20.2-1
cups-pdf 3.0.1-4
cups-pk-helper 0.2.6-1
curl 7.59.0-2
darkhttpd 1.12-4
darktable 2:2.4.2-1
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dcadec 0.2.0-1
dconf 0.28.0-1
ddrescue 1.23-1
desktop-file-utils 0.23-1
device-mapper 2.02.177-5
dhclient 4.4.1-4
dhcpcd 7.0.1-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
ding-libs 0.6.1-1
djvulibre 3.5.27-3
dkms 2.5-1
dmenu 4.8-1
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dnsmasq 2.79-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
dosfstools 4.1-1
double-conversion 3.0.0-1
downgrade 6.0.0-1
drbl 2.20.11-1
e2fsprogs 1.44.1-1
ecryptfs-utils 111-2
efibootmgr 15-1
efitools 1.7.0.5.g0649468-1
efivar 34-1
electron 1.8.4-1
enchant 2.2.3-1
ethtool 1:4.15-1
evince 3.28.0-1
evolution 3.28.0+8+gf3e2c90d24-1
evolution-data-server 3.28.0+6+g501f51b1c-2
exa 0.8.0-1
exfat-utils 1.2.8-1
exiv2 0.26-2
exo 0.12.0-1
expac 8-1
expat 2.2.5-1
f2fs-tools 1.10.0-1
faac 1.29.9.2-1
faad2 2.8.8-1
faba-icon-theme 4.1.2-1
fakeroot 1.22-1
feh 2.25.1-1
ffmpeg 1:3.4.2-2
ffmpeg2.8 2.8.14-1
ffmpegthumbnailer 2.2.0-1
fftw 3.3.7-1
file 5.32-1
file-roller 3.28.0-1
filesystem 2018.1-2
filezilla 3.32.0-1
findutils 4.6.0-2
firefox 59.0.2-2
firefox-vimium 1.63.3-1
flac 1.3.2-1
flashplugin 29.0.0.113-1
flex 2.6.4-1
flickcurl 1.26-2
flite 2.1-1
folks 0.11.4+26+g2c992227-1
font-manager 0.7.3-2
fontconfig 2.13.0+10+g58f5285-1
foomatic-db-engine 4:4.0.13-1
freetype2 2.9-2
fribidi 1.0.1+8+gdf7252b-1
fsarchiver 0.8.4-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
fuse3 3.2.2-2
fzf 0.17.3-1
galculator 2.1.4-3
gamin 0.1.10-8
garcon 0.6.1-1
gawk 4.2.1-1
gc 7.6.4-1
gcab 1.0+2+gc0947f6-1
gcc 7.3.1+20180312-2
gcc-libs 7.3.1+20180312-2
gconf 3.2.6-5
gcr 3.28.0-1
gd 2.2.5-1
gdbm 1.14.1-1
gdk-pixbuf2 2.36.11+70+g00e03a272-1
geany 1.33.0-2
gegl02 0.2.0-8
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
geoip 1.6.11-1
geoip-database 20180306-1
gettext 0.19.8.1-2
gfbgraph 0.2.3+10+gbc03c1f-1
ghostscript 9.23-1
giblib 1.2.4-6
giflib 5.1.4-1
gimp 2.8.22-1
git 2.17.0-1
gjs 1:1.52.0-1
gksu 2.0.2-6
glances 2.11.1-2
glew 2.1.0-1
